Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,-3.45,-7.01,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Benzoic Acid,C1=CC=C(C=C1)C(=O)O,-2.48,-6.04,95,305.15,"Surgery, Abdomen, Breast",Static Franz Cell,"0.9% NaCl, 5% bovine serum albumine, 0.1% hexamycine in water",O=C(O)c1ccccc1
Flufenamic Acid,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,-2.88,-6.44,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,-3.48,-7.04,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O=C(O)c1ccccc1O
Nicotinic Acid,C1=CC(=CN=C1)C(=O)O,-4.62,-8.18,109,305.15,Human Abdominal Skin,Static,PBS,O=C(O)c1cccnc1
Isonicotinic Acid,C1=CN=CC=C1C(=O)O,-4.61,-8.17,53,310.15,"Abdominoplasty Or Mammaplasty, Abdomen, Breast",Franz Cell,PBS,O=C(O)c1ccncc1
Benzyl Nicotinate,C1=CC=C(C=C1)COC(=O)C2=CN=CC=C2,-1.31,-4.87,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(OCc1ccccc1)c1cccnc1
Ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,-2.04,-5.6,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,-1.41,-4.97,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(c1ccccc1)c1ccccc1
Trans-Cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,-1.54,-5.09,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C/C=C/c1ccccc1
Cyclohexanone,C1CCC(=O)CC1,-2.74,-6.3,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,O=C1CCCCC1
4-Bromophenyl Isocyanate,C1=CC(=CC=C1Br)N=C=O,-2.04,-5.6,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C=Nc1ccc(Br)cc1
Formic Acid,C(=O)O,-3.52,-7.08,50,305.15,Human Abdominal Skin,Static,PBS,O=CO
Benzaldehyde,C1=CC=C(C=C1)C=O,-0.95,-4.51,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=Cc1ccccc1
N-Nitrosodiethanolamine,C(CO)N(CCO)N=O,-5.22,-8.78,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O=NN(CCO)CCO
Tdcipp,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,0.26,-3.3,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
Tphp,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.08,-3.48,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
Bisphenol S,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,-6.19,-9.75,93,305.65,"Surgery, Abdomen",Static Franz Cell,"RPMI 1640 with gentamycine, penicillin, streptomycin and 2% BSA",O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
Nitroglycerin,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],-1.96,-5.52,105,305.15,Human Abdominal Skin,Static,PBS,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
Isosorbide 5-Mononitrate,C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,-3.4,-6.96,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
Isosorbide Dinitrate,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],-1.94,-5.5,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.54,-5.1,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-2.25,-5.81,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O=[N+]([O-])c1ccc(O)cc1
3-Nitrophenol,C1=CC(=CC(=C1)[N+](=O)[O-])O,-2.25,-5.81,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O=[N+]([O-])c1cccc(O)c1
Nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],-1.29,-4.85,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=[N+]([O-])c1ccccc1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.17,-7.73,109,305.15,Human Abdominal Skin,Static,PBS,O=c1[nH]cc(F)c(=O)[nH]1
Coumarin,O=C1OC2=CC=CC=C2C=C1,-2.04,-5.6,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=c1ccc2ccccc2o1
Boric Acid,B(O)(O)O,-3.64,-7.2,78,273.15,"Cadaver, Thigh",Flow Through Cell,PBS,OB(O)O
Chloral Hydrate,C(C(Cl)(Cl)Cl)(O)O,-2.41,-5.97,14,305.15,Human Abdominal Skin,Static,PBS/Saline,OC(O)C(Cl)(Cl)Cl
Cinnamyl Alcohol,C1=CC=C(C=C1)/C=C/CO,-1.48,-5.04,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,OC/C=C/c1ccccc1
5-Phenylpentanol,C1=CC=CC=C1CCCCC(O),-0.94,-4.5,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCCCCc1ccccc1
4-Phenylbutanol,C1=CC=CC=C1CCCCO,-1.08,-4.64,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCCCc1ccccc1
Diethanolamine,N(CCO)CCO,-4.38,-7.94,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,OCCNCCO
Ethylene Glycol,OCCO,-4.07,-7.63,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,OCCO
2-Phenoxyethanol,C1=CC=C(C=C1)OCCO,-2.88,-6.44,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,OCCOc1ccccc1
2-Phenylethanol,C1=CC=C(C=C1)CCO,-1.72,-5.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCc1ccccc1
Mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-4.86,-8.42,14,305.15,Human Abdominal Skin,Static,PBS/Saline,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
Sucrose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,-5.28,-8.84,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Raffinose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,-4.81,-8.37,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
4-Hydroxybenzyl Alcohol,OCc1ccc(O)cc1,-2.7,-6.26,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCc1ccc(O)cc1
Benzyl Alcohol,C1=CC=C(C=C1)CO,-2.22,-5.78,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,OCc1ccccc1
"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.23,-4.79,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,Oc1c(Cl)cc(Cl)cc1Cl
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,-4.47,-8.03,9,310.15,Breast And Abdomen,Static,ethanol : PBS (25 : 75),Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Phloroglucinol,C1=C(C=C(C=C1O)O)O,-2.31,-5.87,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1cc(O)cc(O)c1
4-Bromophenol,C1=CC(=CC=C1Br)O,-1.44,-5.0,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccc(Br)cc1
4-Chlorophenol,C1=CC(=CC=C1Cl)O,-1.44,-5.0,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccc(Cl)cc1
"2,4-Dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-1.22,-4.78,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,Oc1ccc(Cl)cc1Cl
"1,2,4-Benzenetriol",C1=CC(=C(C=C1O)O)O,-3.9,-7.46,30,310.15,"Abdominoplasty, Abdomen",Franz Cell,PBS,Oc1ccc(O)c(O)c1
Hydroquinone,C1=CC(=CC=C1O)O,-2.75,-6.31,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1ccc(O)cc1
2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,-1.55,-5.11,50,305.15,Human Abdominal Skin,Static,PBS,Oc1ccc2ccccc2c1
Resorcinol,C1=CC(=CC(=C1)O)O,-3.62,-7.18,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1cccc(O)c1
Pyrogallol,C1=CC(=C(C(=C1)O)O)O,-2.61,-6.17,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1cccc(O)c1O
1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,-1.55,-5.11,50,305.15,Human Abdominal Skin,Static,PBS,Oc1cccc2ccccc12
Phenol,C1=CC=C(C=C1)O,-2.09,-5.65,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccccc1
2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,-2.8,-6.36,43,305.15,Abdomen,Static,0.9% NaCl + 0.01% sodium azide + 3% BSA,Oc1ccccc1-c1ccccc1
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,-1.48,-5.04,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccccc1Cl
Catechol,C1=CC(=C(C=C1)O)O,-2.77,-6.33,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Oc1ccccc1O
Nickel,[Ni],-3.21,-6.77,24,305.15,Human Abdominal Full Thickness Skin,Flow,0.9% NaCl physiological saline,[Ni]
Phenylglycidyl Ether,C1C(O1)COC2=CC=CC=C2,-2.84,-6.4,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,c1ccc(OCC2CO2)cc1
Levamisole,C1CSC2=N[C@H](CN21)C3=CC=CC=C3,-2.11,-5.67,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,c1ccc([C@H]2CN3CCSC3=N2)cc1
Naphthalene,C1=CC=C2C=CC=CC2=C1,-2.05,-5.61,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,c1ccc2ccccc2c1
Isoquinoline,C1=CC=C2C=CN=CC2=C1,-1.78,-5.34,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,c1ccc2cnccc2c1
Benzene,C1=CC=CC=C1,-0.95,-4.51,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,c1ccccc1
Pyridine,C1=CC=NC=C1,-2.74,-6.3,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,c1ccncc1
